ID,Codigo de grupo,Nombre de grupo,Lider,Avalado,Estado,Calificado,Programa nacional,Programa nacional secundario,Programa tipo
14,COL0015099,"Programa de Estudio y Control de Enfermedades Tropicales",IVAN DARIO VELEZ BERNAL,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
15,COL0047889,"GIOM",ALEJANDRO PELAEZ VARGAS,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
16,COL0007524,"Grupo Malaria",ALBERTO TOBON CASTANO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
17,COL0070537,"Biomedical Signal Processing and Artificial Intelligence Laboratory",WINSTON SPENCER PERCYBROOKS BOLIVAR,1 de 2,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Tecnologías de la Información y las Comunicaciones","Ciencia, Tecnología e Innovación en Salud",Salud.
18,COL0044045,"Fisiología Celular y Molecular",JEAN PAUL VERNOT HERNANDEZ,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
19,COL0010074,"Grupo de Investigación en Patología Oral, Periodoncia y Cirugía Alvéolo-Dentaria-POPCAD",SERGIO IVAN TOBON ARROYAVE,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
20,COL0070958,"Caracterización genética  e inmunología",NUBIA ESTELA MATTA CAMACHO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
21,COL0078428,"MICOBAC-UN",MARTHA ISABEL MURCIA ARANGUREN,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
22,COL0005029,"Familia y Sexualidad",ELVIA VARGAS TRUJILLO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
23,COL0005744,"GRIPE: Grupo Investigador de Problemas en  Enfermedades Infecciosas",OMAR VESGA MENESES,2 de 4,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
24,COL0025639,"Grupo de Bioquímica Teórica",MARTHA CECILIA DAZA ESPINOSA,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
25,COL0009888,"Grupo de Investigación en  Hormonas",ADRIANA UMANA PEREZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
26,COL0074821,"Unidad de Genética y Resistencia Antimicrobiana - UGRA",CESAR AUGUSTO ARIAS HERNANDEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
27,COL0007794,"Grupo de Biomecánica de la Universidad del Valle",JOSE JAIME GARCIA ALVAREZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ingeniería",Salud.
28,COL0013648,"MEDICINA TROPICAL",LUIS ERNESTO LOPEZ ROJAS,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
29,COL0009814,"Grupo de Investigación en Gerontología y Geriatría",JOSE FERNANDO GOMEZ MONTES,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
30,COL0069358,"Grupo de Investigaciones Biomédicas y de Genética Humana Aplicada - GIBGA",GINA MENDEZ CALLEJAS,2 de 4,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
31,COL0038289,"Grupo de Inmunología Molecular ",JHON CARLOS CASTANO OSORIO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
32,COL0011329,"Grupo de investigación en Inmunología y Biología Molecular",EDUARDO ALBERTO EGEA BERMEJO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
33,COL0002519,"Ciencias Básicas Médicas",SANDRA ROCIO RAMIREZ CLAVIJO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
34,COL0012631,"Investigaciones Biomédicas",EDUAR ELIAS BEJARANO MARTINEZ,1 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
35,COL0016309,"Grupo de Nutrición",ANA YIBBY FORERO TORRES,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
36,COL0015339,"Quimica Organica de Productos Naturales",WINSTON QUINONES FLETCHER,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
37,COL0014028,"MEDI-CIENCIAS RESEARCH GROUP",FIDIAS E LEON-SARMIENTO,4 de 6,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
38,COL0032821,"Centro de Estudios e Investigación en Salud -CEIS-",DARIO LONDONO TRUJILLO,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
39,COL0007506,"Grupo de Parasitología, Universidad de Antioquia",SONIA DEL PILAR AGUDELO LOPEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
40,COL0038389,"Inmunomodulación",JOSE ROBINSON RAMIREZ PINEDA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
41,COL0066267,"LABORATORIO DE SINTESIS ORGANICA",ALIRIO PALMA RODRIGUEZ,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
42,COL0010744,"Grupo de Neurociencias de Antioquia",FRANCISCO JAVIER LOPERA RESTREPO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
43,COL0075883,"Grupo Evaluación Biológica de Sustancias Promisorias",LUIS ALBERTO FRANCO OSPINA,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
44,COL0000363,"Alergologia experimental e inmunogenetica",LUIS CARABALLO,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
45,COL0049794,"Grupo de Investigación en Psicología Clínica y de la Salud",CESAR ARMANDO REY ANACONA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
46,COL0005851,"GRUPO DE ESTUDIO DEL DOLOR",ESPERANZA HERRERA VILLABONA,2 de 4,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
47,COL0092392,"CENTRO DE ESTUDIO DE ENFERMEDADES AUTOINMUNES - CREA",JUAN-MANUEL ANAYA CABRERA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
48,COL0126131,"GRUPO DE INVESTIGACIÓN EN MICROBIOLOGÍA BÁSICA Y APLICADA-MICROBA",ANGEL AUGUSTO GONZALEZ MARIN,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
49,COL0009485,"Grupo de Investigación en Bioquímica de Enfermedades  Cardiovasculares y Metabólicas",PATRICIA LANDAZURI,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
50,COL0023902,"Ciencias Básicas Médicas",JOHN MARIO GONZALEZ ESCOBAR,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
51,COL0024463,"Inmunobiología y Biología Celular",SUSANA FIORENTINO GOMEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
52,COL0044671,"Violencia y Salud",ZULMA CONSUELO URREGO MENDOZA,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
53,COL0050839,"GRID - Grupo de Investigación Dermatológica",GLORIA SANCLEMENTE MESA,4 de 9,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
54,COL0006723,"Genética Molecular (GENMOL)",WINSTON ROJAS MONTOYA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
55,COL0156275,"Grupo de Bioquímica Estructural de Macromoléculas",EDWIN BAIRON PATINO GONZALEZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
56,COL0008773,"Grupo de Investigacion en Salud Publica",LEONARDO BRICENO AYALA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
57,COL0056725,"Laboratorio de Parasitología Molecular.",JACQUELINE CHAPARRO OLAYA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
58,COL0065152,"BIOPOLIMER",FREIMAR SEGURA SANCHEZ,1 de 2,Categoría A,Convocatoria 833 de 2018,"Biotecnología","Ciencia, Tecnología e Innovación en Salud",Salud.
59,COL0019679,"VIREM - Virus Emergentes y Enfermedad",BEATRIZ PARRA PATINO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
60,COL0008639,"Grupo de Inmunología Celular e Inmunogenética",MAURICIO ROJAS LOPEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
61,COL0012444,"Inmunovirología",MARIA TERESA RUGELES LOPEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
62,COL0035331,"Laboratorio de Medicina Genomica ",HENRY OSTOS ALFONSO,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
63,COL0000999,"Biología de Nutrientes",CARMINA LUCIA VARGAS ZAPATA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
64,COL0006474,"GRUPO DE NEUROCIENCIAS DE LA UNIVERSIDAD DEL ROSARIO (NEUROS)",ALBERTO VELEZ VAN MEERBEKE,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
65,COL0001413,"CIDEIM",NANCY GORE SARAVIA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
66,COL0010806,"Grupo de Parasitología",SOFIA DUQUE BELTRAN,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
67,COL0055889,"Grupo de Investigaciones Microbiológicas y Biomédicas de Córdoba (GIMBIC)",MARIA FERNANDA YASNOT ACOSTA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
68,COL0009439,"INVESTIGACIONES FOSCAL",PATRICIO LOPEZ JARAMILLO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
69,COL0082529,"Instituto de Investigaciones Biomédicas",AUGUSTO ELIAS VALDERRAMA AGUIRRE,3 de 5,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Salud",Salud.
70,COL0095213,"Grupo de Investigación en Genética (G=I=G)",MILTON MANUEL QUINTANA SOSA,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Biotecnología","Ciencia, Tecnología e Innovación en Salud",Salud.
71,COL0014574,"Patología Molecular",JUAN JOSE YUNIS LONDONO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
72,COL0024006,"Muerte Celular",GONZALO ARBOLEDA BUSTOS,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
73,COL0014206,"Observatorio de la Salud Pública",JORGE JULIAN OSORIO GOMEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
74,COL0010154,"Grupo de Investigación en Promoción de la Salud - Promesa",GLADYS EUGENIA CANAVAL ERAZO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
75,COL0010691,"Grupo de Microbiología",JAIME MORENO CASTANEDA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
76,COL0004317,"Enfermedades Infecciosas",MARYLIN HIDALGO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
77,COL0015992,"Salud Mental",YOLANDA TORRES DE GALVIS,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
78,COL0075678,"Grupo de Investigación en Química Orgánica Medicinal",HAROLD GOMEZ ESTRADA,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
79,COL0008933,"Grupo de Investigaciones en Enfermedades Tropicales",CLAUDIA MARIA ELISA ROMERO VIVAS,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
80,COL0093101,"GRUPO DE INVESTIGACIÓN SALUD, REHABILITACIÓN Y TRABAJO SARET",DIANA CAROLINA TIGA LOZA,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
81,COL0001262,"CENTAURO",JORGE ARTURO FERNANDEZ SILVA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Agropecuarias","Ciencia, Tecnología e Innovación en Salud",Salud.
82,COL0019338,"Micobacterias ",GLORIA MERCEDES PUERTO CASTRO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
83,COL0008629,"Grupo de Investigación en Biología del Cáncer",MARIA MERCEDES BRAVO HERNANDEZ,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
84,COL0026403,"Bioinformática y Biocomputación",PEDRO ANTONIO MORENO TOVAR,2 de 3,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Tecnologías de la Información y las Comunicaciones","Ciencia, Tecnología e Innovación en Salud",Salud.
85,COL0068949,"Neurofisiología Comportamental",FRANCISCO ALEJANDRO MUNERA GALARZA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
86,COL0008737,"Grupo de Investigacion en Cardiologia",EDGAR HERNANDEZ LEIVA,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
87,COL0010815,"Centro de Investigaciones en Enfermedades Tropicales (CINTROP)",JONNY EDWARD DUQUE LUNA,3 de 5,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
88,COL0012088,"INSTITUTO DE GENETICA HUMANA - FACULTAD DE MEDICINA - PONTIF",FERNANDO SUAREZ OBANDO,2 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
89,COL0055138,"CHIMA, Grupo de Química Matemática",EUGENIO JOSE LLANOS BALLESTAS,3 de 4,Categoría A1,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
90,COL0016748,"Unidad de Bacteriología y Micobacterias, CIB-UPB",JAIME A ROBLEDO RESTREPO,3 de 4,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Biotecnología",Salud.
91,COL0058828,"Medicina preventiva y social",LUIS FERNANDO GOMEZ GUTIERREZ,3 de 5,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
92,COL0036114,"BIOFORENSE",LUZ MIRYAM GOMEZ PINEREZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e innovación en Ambiente, Biodiversidad y Hábitat",Salud.
93,COL0002742,"Conflicto social y violencia",MYRIAM JIMENO SANTOYO,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación","Ciencia, Tecnología e Innovación en Salud",Salud.
94,COL0014832,"Principios Bioactivos en Plantas Medicinales",LUIS FERNANDO OSPINA GIRALDO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
95,COL0055049,"Grupo de Investigación en Biomateriales ",DIANA MARCELA ESCOBAR SIERRA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Ingeniería","Ciencia, Tecnología e Innovación en Salud",Salud.
96,COL0000603,"Política y Economía de la Salud - Cendex",ROLANDO ENRIQUE PENALOZA QUINTERO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
97,COL0009476,"Grupo de Investigación en Biomecánica / Universidad Nacional de Colombia GIBM-UNCB",CARLOS JULIO CORTES RODRIGUEZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ingeniería",Salud.
98,COL0060334,"Sistemas para Liberación Controlada de Moléculas Biológicamente Activas",YOLIMA BAENA ARISTIZABAL,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ingeniería",Salud.
99,COL0206116," Grupo de Inmunología celular y molecular Universidad El Bosque",MARIA CONSUELO ROMERO SANCHEZ,1 de 2,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
100,COL0022164,"Grupo de Virología",JAIME EDUARDO CASTELLANOS PARRA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
101,COL0012499,"Unidad de Investigación Básica Oral UIBO",GLORIA INES LAFAURIE VILLAMIL,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
102,COL0010083,"Grupo de Investigación en Pediatría",JAIME AURELIO CESPEDES LONDONO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
103,COL0003703,"Economía de la Salud",NELSON RAFAEL ALVIS GUZMAN,4 de 6,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
104,COL0089842,"CIST-Centro de Investigación en Salud para el Trópico",GABRIEL JAIME PARRA HENAO,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e innovación en Ambiente, Biodiversidad y Hábitat",Salud.
105,COL0007328,"Grupo de Investigación en Fisiología y Bioquímica - Physis",JUAN CAMILO CALDERON VELEZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
106,COL0075598,"Biología de Sistemas",ISABEL CRISTINA ORTIZ TRUJILLO,2 de 3,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
107,COL0023724,"GRUPO DE INVESTIGACION DE LABIO Y PALADAR HENDIDO FISIOLOGIA ORAL Y CRECIMIENTO CRANEOFACIAL - CESLPH",CLAUDIA CECILIA RESTREPO SERNA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
108,COL0022057,"UNIDAD DE INVESTIGACIÓN EN CARIES "UNICA"",STEFANIA MARTIGNON,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ciencias Humanas, Sociales y  Educación",Salud.
109,COL0043727,"Unidad de Manejo Integral de Malformaciones Craneofaciales (UMIMC)",MARIA CLARA GONZALEZ CARRERA,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
110,COL0063479,"RAM (Red para el Uso Adecuado de Medicamentos)",JOSE JULIAN LOPEZ GUTIERREZ,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","No Aplica",Salud.
111,COL0024159,"Grupo de Gastrohepatología",MARIA CRISTINA NAVAS NAVAS,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
112,COL0010172,"Grupo de Investigación en Proteinas - GRIP",NOHORA ANGELICA VEGA CASTRO,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencias Básicas","Ciencia, Tecnología e Innovación en Salud",Salud.
113,COL0009331,"Grupo de Investigación de la Fundación Neumológica Colombiana",CARLOS ARTURO TORRES DUQUE,2 de 4,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
114,COL0000059,"Centro de Investigaciones Odontológicas",NELLY STELLA ROA MOLINA,1 de 1,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
115,COL0003964,"EVALUACION DE TECNOLOGIAS Y POLITICAS EN SALUD",HERNANDO GUILLERMO GAITAN DUARTE,5 de 9,Categoría A1,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencia, Tecnología e Innovación en Ingeniería",Salud.
116,COL0029423,"Laboratorio de Diagnóstico Molecular y Bioinformática",MARIA DEL PILAR DELGADO PERAFAN,1 de 1,Categoría A,Convocatoria 833 de 2018,"Ciencia, Tecnología e Innovación en Salud","Ciencias Básicas",Salud.
